"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACROLOXUS LACUSTRIS","AMPULLACEANA BALTHICA","ANCYLUS FLUVIATILIS","ANISUS LEUCOSTOMA","ANISUS VORTEX","ANODONTA ANATINA","ASELLUS AQUATICUS","ATHRIPSODES SP.","BAETIDAE GEN. SP.","BATHYOMPHALUS CONTORTUS","BERAEODES MINUTUS","BITHYNIA LEACHII SSP.","BITHYNIA TENTACULATA","BRACHYCENTRUS MACULATUS","BRACHYCENTRUS SUBNUBILUS","BRACHYPTERA RISI","CAENIS HORARIA","CAENIS MACRURA-GR.","CAENIS RIVULORUM","CAENIS ROBUSTA","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CERACLEA DISSIMILIS","CERATOPOGONIDAE GEN. SP.","CHALCOLESTES VIRIDIS","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORIXIDAE GEN. SP.","DENDROCOELUM LACTEUM","DICRANOTA SP.","DUGESIA GONOCEPHALA","DYTISCIDAE GEN. SP.","ELMIS SP.","ELODES SP.","EPHEMERA DANICA","ERPOBDELLA SP.","GALBA TRUNCATULA","GAMMARUS SP.","GERRIS SP.","GLOSSIPHONIA COMPLANATA","GLOSSIPHONIA NEBULOSA","GLOSSIPHONIA NEBULOSA/VERRUCATA","GOERA PILOSA","GYRAULUS ALBUS","HALIPLUS SP.","HELOBDELLA STAGNALIS","HELOPHORUS SP.","HEPTAGENIA SP.","HETEROPTERA GEN. SP.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","KAGERONIA FUSCOGRISEA","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMONIIDAE GEN. SP.","LITHAX OBSCURUS","LYPE SP.","MOLANNA ANGUSTATA","MYSTACIDES SP.","NEMOURIDAE GEN. SP.","NEPA CINEREA","NOTERUS CRASSICORNIS","NOTIDOBIA CILIARIS","OLIGOCHAETA GEN. SP.","ORECTOCHILUS VILLOSUS","OULIMNIUS SP.","PHYSA FONTINALIS","PISCICOLA GEOMETRA","PISIDIUM SP.","PLANORBARIUS CORNEUS","POLYCELIS NIGRA","POLYCELIS NIGRA/TENUIS","POLYCENTROPODIDAE GEN. SP.","POTAMOPYRGUS ANTIPODARUM","PROASELLUS SP.","PSYCHODIDAE GEN. SP.","PTYCHOPTERA SP.","RHYACOPHILA SP.","SERRATELLA IGNITA","SIALIS SP.","SIMULIIDAE GEN. SP.","SPHAERIUM SP.","STAGNICOLA SP.","THEODOXUS FLUVIATILIS SSP.","TINODES SP.","TIPULIDAE GEN. SP.","TURBELLARIA GEN. SP.","UNIO TUMIDUS SSP.","VALVATA PISCINALIS SSP.","VIVIPARUS CONTECTUS","VIVIPARUS VIVIPARUS"
"GER_071_MZB_LO_13","GER_071_MZB_LO_13-19.06.2021","19.06.2021",2021,6,19,0,3.2,0,0,1.6,0,14.4,0,528,0,0,3.2,8,0,0,0,0,0,0,0,12.8,12.8,0,0,0,144,0,0,0,3.2,0,0,0,0,0,6.4,0,83.2,0,3.2,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,6.4,0,0,0,22.4,0,0,0,0,0,0,0,51.2,19.2,0,0,0,0,0,0,0,1.6,0
"GER_071_MZB_LO_15","GER_071_MZB_LO_15-10.04.2009","10.04.2009",2009,4,10,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,30.6,0,0,0,0,0,0,0,2.4,0,277,0,0,0,0,0,2.4,0,0,0,7.2,0,264,0,2.4,0,2.4,0,0,0,0,0,0,0,9.6,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,225.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,36,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_15","GER_071_MZB_LO_15-09.04.2011","09.04.2011",2011,4,9,0,0,0,0,0,0,19.2,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,0,0,0,0,0,0.8,0,0,6.4,14.4,0,700.8,0,9.6,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,63.2,0,4.8,4.8,0,0,0,14.4,0,0,0,67.2,0,0,0,0,4.8,0,0,0,0,0,0,14.4,0,0,0,0,48,4.8,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_15","GER_071_MZB_LO_15-25.04.2012","25.04.2012",2012,4,25,0,0,0,0,0,0,4.8,0,81.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,336.8,0,0,0,9.6,0,0,0,0,0,0,0,677.6,0,10.4,0,0,0,0,0,19.2,0,0,0,45.6,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,129.6,0,0,0,0,62.4,0,0,0,0,0,0,0,0,0,0,0,0,159.2,0,0,4.8,0,0,0,0,0,0
"GER_071_MZB_LO_15","GER_071_MZB_LO_15-24.04.2013","24.04.2013",2013,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,118.8,0,0,0,0,0,0,0,0,0,0.8,0,18.3,0,1.5,0.8,0,0,0,0,4.6,0,0,0,0,0,0,0,0,2.3,0,0,1.5,0,0,0,0,0,0,0.8,438.9,0,0,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,36.6,60.2,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_15","GER_071_MZB_LO_15-20.03.2015","20.03.2015",2015,3,20,0,0,0,0.8,0,0.8,14.528,0,0,11.096,0,0,0,0,0,15.328,0,0,0,0,0,0,0,0,0,289.144,0,0,0.8,0,0,0,0,3.432,0,12.696,3.432,126.984,0,0.8,0,6.4,0,0,0,0,0,0,0,4.232,0,0,0,0,29.856,0,0,1.6,0,0,0,6.864,0,0,0,78.936,0,0,0,0,34.32,0,0,0,0,0,3.432,0,0,0,0,3.432,756.64,18.76,0,0,8.232,0,0,0,0,0,0
"GER_071_MZB_LO_15","GER_071_MZB_LO_15-15.03.2018","15.03.2018",2018,3,15,0,0,0,0,0,0,72,0,161.6,2.4,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,2.4,0,0,0,2.4,0,0,0,0,0,0.8,0,194.4,0,2.4,0,0,0,0,0.8,0,0,0,0,0.8,0,0,0,0,36.8,0,0,0,0,0,0,0.8,0,0,0,8,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,320,30.4,0,0,0,0.8,0,0,0,0,0
"GER_071_MZB_LO_15","GER_071_MZB_LO_15-25.03.2021","25.03.2021",2021,3,25,0,0,0,0,0,0,31.4,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,1197.2,0,2.9,5.7,0,0,0.8,0,0,0,0,0,54.3,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.1,0,5.8,0,0,0,0,8.6,0,0,0,105.9,0,0,0,0,22.9,2.9,0,5.7,0,0,0,2.9,0,0,0,0,97.1,2.9,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_9","GER_071_MZB_LO_9-14.04.2009","14.04.2009",2009,4,14,0,1.6,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.6,0,0,0,0.8,0.8,0.8,0,0,0,4.8,0,8,0,1.6,0,0,0,0.8,0,0,0,0,0,0,0,1.6,0,7.2,4,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,47.2,0,0,0,0,4,0,0,8,0,0,1.6,0.8,0,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_9","GER_071_MZB_LO_9-28.04.2010","28.04.2010",2010,4,28,0,0,0,0,0,0,3.2,0,8.8,0,0,0,0,1.6,0,0,0,0,2.4,0,0,0,0,0,0,144,0,0,0,0.8,0,0,0.8,0.8,0.8,0,0,37.6,0,0,0,0,0,0,0,0,0,0,0,4,0,5.6,0,3.2,10.4,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_9","GER_071_MZB_LO_9-20.04.2011","20.04.2011",2011,4,20,0,0,0,0,0,0,10.4,0,9.6,0,0,0,0,0,0,0,0,0,116.8,0,0,0,0,0,0,108.8,0,0.8,0,2.4,0,0.8,6.4,0,1.6,0.8,0,174.4,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,2.4,12.8,0,1.6,0,0,0,0,0,0,0,0,121.6,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_9","GER_071_MZB_LO_9-12.04.2013","12.04.2013",2013,4,12,1.52381,0,2.28571,0,0,0,3.80952,0,16,0,0,0,0,0,0.7619,0,0,0,0,0,0,0,0,0,0,9.14285,0,0.7619,0,0,0,0.7619,0.7619,0,0,0,0,19.04762,0,0,0,0,0,0,0,0,0,4.57142,0,0.7619,0,4.57143,0,2.28571,0.7619,0,0,0,1.52381,0,0,0,0,0,0,6.85714,0,0,0,0,0,0,0,0,0.7619,0,0,0,0,0,0,0.7619,67.80952,0,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_9","GER_071_MZB_LO_9-29.04.2016","29.04.2016",2016,4,29,0,0,0,0,0,0,115.2,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.2,0,1.6,0,0,6.4,6.4,28.8,0,3.2,9.6,0,475.2,0,0,0,0,0,0,0,0,0,22.4,0,35.2,0,8,3.2,0,38.4,0,0,0,0,0,0,0,0,0,1.6,96,0,0,0,0,3.2,0,0,0,1.6,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_9","GER_071_MZB_LO_9-18.04.2019","18.04.2019",2019,4,18,0,0.8,6.9,0,0,0,29.7,0,32,0,0,0,0,0,0.8,0,0,0,11.4,0,0.8,0.8,0,0,0,57.2,0,6.9,0,0,16,9.1,50.3,0,70.9,4.6,0,180.6,0,0,0,0,11.4,0,0,0,2.3,61.7,0,6.1,0,121.1,11.4,68.6,74.9,0,13.7,0,9.1,0,0,0,0,0,0,6.9,4.6,0,0,0,2.3,0,0,0,13.8,0,0,0,2.3,2.3,0,0,48,0,0,0,0,0,6.9,0,0,0,0
"GER_071_MZB_LO_9","GER_071_MZB_LO_9-24.03.2020","24.03.2020",2020,3,24,0,4.8,0,0,14.4,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0.8,0,3.2,0,0.8,0,0,8,3.2,0,204.8,0,0,0,0,0,0,0,0,0,21.6,0,4.8,0,26.4,0,12,20.8,0,16,0,0,0,0,0,0,0,1.6,0,0.8,0,0,0,40.8,0,0,0,0,0,0,0,3.2,0,0,0,21.6,4.8,3.2,0,0,0,0,0,0,0,0
