"sample_Id","Ecological.Quality.Class","Ecological.Quality.Ratio_DJ","Ecological.Quality.Ratio_ASPT","BMWP","ASPT","Saprobic.Index.following.Zelinka...Marvan..1961..2","Danish.Stream.Fauna.Index","DJ.Index","Site.ID","Sampling.date"
"104000066_23.09.2017","H",1.11,1.03,189,6.75,1.546,7,15,"104000066","23.09.2017"
"104000066_25.09.2006","H",0.89,0.96,170,6.296,1.785,7,13,"104000066","25.09.2006"
"104000066_25.09.2008","H",1,0.99,162,6.48,1.821,7,14,"104000066","25.09.2008"
"104000066_25.09.2019","H",1.11,1.04,184,6.815,1.613,7,15,"104000066","25.09.2019"
"104000066_26.09.2012","H",1,1.03,188,6.714,1.481,7,14,"104000066","26.09.2012"
"104000066_26.09.2014","H",1,1.06,194,6.929,1.673,7,14,"104000066","26.09.2014"
"104000066_27.09.2013","H",1.11,1.08,212,7.067,1.45,7,15,"104000066","27.09.2013"
"104000066_28.09.2009","H",1,1.04,169,6.76,1.728,7,14,"104000066","28.09.2009"
"104000066_28.09.2011","H",1.11,1.05,185,6.852,1.46,7,15,"104000066","28.09.2011"
"104000069_01.06.2004","G",0.78,0.91,73,6.083,2.002,0,12,"104000069","01.06.2004"
"104000069_03.06.1999","G",0.67,0.8,48,5.333,2.016,0,11,"104000069","03.06.1999"
"104000069_03.06.2003","G",0.78,0.93,68,6.182,2,0,12,"104000069","03.06.2003"
"104000069_06.06.2006","G",0.67,0.93,68,6.182,1.965,0,11,"104000069","06.06.2006"
"104000069_08.06.2005","H",0.89,1.03,103,6.867,1.921,0,13,"104000069","08.06.2005"
"104000069_11.06.2001","M",0.44,0.77,41,5.125,2.01,0,9,"104000069","11.06.2001"
"104000069_16.06.1996","H",1,1.01,121,6.722,1.748,0,14,"104000069","16.06.1996"
"104000069_17.06.1997","G",0.67,0.97,78,6.5,2.005,0,11,"104000069","17.06.1997"
"104000069_22.05.2002","G",0.67,0.93,68,6.182,2.012,0,11,"104000069","22.05.2002"
"104000084_16.09.2008","H",1.11,1.05,186,6.889,1.444,7,15,"104000084","16.09.2008"
"104000084_17.09.2017","H",1.11,1.1,201,7.179,1.321,7,15,"104000084","17.09.2017"
"104000084_18.09.2009","H",1.11,1.09,206,7.103,1.546,7,15,"104000084","18.09.2009"
"104000084_20.09.2019","H",1.11,1.06,194,6.929,1.576,7,15,"104000084","20.09.2019"
"104000084_20.10.2004","H",1.11,1.07,154,7,1.448,7,15,"104000084","20.10.2004"
"104000084_25.09.2007","H",1.11,1.05,199,6.862,1.541,7,15,"104000084","25.09.2007"
"104000086_03.09.2019","H",2,1.29,215,6.935,1.777,7,15,"104000086","03.09.2019"
"104000086_03.11.2004","H",2,1.2,155,6.458,1.733,7,15,"104000086","03.11.2004"
"104000086_05.09.2015","H",1.6,1.17,195,6.29,1.794,7,13,"104000086","05.09.2015"
"104000086_08.09.2018","H",1.8,1.27,238,6.8,1.763,7,14,"104000086","08.09.2018"
"104000086_09.09.2013","H",1.8,1.18,235,6.351,1.778,7,14,"104000086","09.09.2013"
"104000086_09.09.2016","H",1.8,1.25,242,6.722,1.758,7,14,"104000086","09.09.2016"
"104000086_10.09.2017","H",1.8,1.24,227,6.676,1.772,7,14,"104000086","10.09.2017"
"104000086_12.09.2007","H",1.8,1.19,218,6.412,1.803,7,14,"104000086","12.09.2007"
"104000086_12.09.2010","H",1.8,1.2,239,6.459,1.71,7,14,"104000086","12.09.2010"
"104000086_13.09.2008","H",1.8,1.21,208,6.5,1.753,7,14,"104000086","13.09.2008"
"104000086_14.09.2009","H",1.8,1.2,225,6.429,1.757,7,14,"104000086","14.09.2009"
"104000086_15.09.2012","H",1.8,1.25,201,6.7,1.766,7,14,"104000086","15.09.2012"
"104000086_18.09.2014","H",1.8,1.19,243,6.395,1.792,7,14,"104000086","18.09.2014"
"104000086_20.09.2006","H",1.8,1.23,238,6.611,1.772,7,14,"104000086","20.09.2006"
"104000086_20.09.2011","H",1.8,1.18,190,6.333,1.768,7,14,"104000086","20.09.2011"
"104000086_27.09.2005","H",1.8,1.23,231,6.6,1.706,7,14,"104000086","27.09.2005"
"104000089_01.06.2001","H",1,1.03,108,6.75,1.545,6,14,"104000089","01.06.2001"
"104000089_05.05.1999","G",0.78,0.97,89,6.357,1.497,0,12,"104000089","05.05.1999"
"104000089_06.06.2006","H",1,1.07,112,7,1.652,6,14,"104000089","06.06.2006"
"104000089_08.05.2000","H",1,0.98,154,6.417,1.483,6,14,"104000089","08.05.2000"
"104000089_09.05.2004","H",1.11,1.12,153,7.286,1.655,0,15,"104000089","09.05.2004"
"104000089_12.05.1998","H",1,1.1,101,7.214,1.678,0,14,"104000089","12.05.1998"
"104000089_13.05.2002","H",1,1.02,107,6.688,1.713,0,14,"104000089","13.05.2002"
"104000089_19.05.2003","H",1,1.09,135,7.105,1.663,0,14,"104000089","19.05.2003"
"104000089_19.06.1995","M",0.56,0.81,37,5.286,1.874,0,10,"104000089","19.06.1995"
"104000089_23.05.1997","H",0.89,1.03,74,6.727,1.365,0,13,"104000089","23.05.1997"
"104000089_23.05.2005","H",1,1.02,87,6.692,1.48,5,14,"104000089","23.05.2005"
"104000089_26.05.1996","H",1,1.02,100,6.667,1.543,0,14,"104000089","26.05.1996"
"104000090_02.09.2005","H",1.11,1.04,183,6.778,1.633,7,15,"104000090","02.09.2005"
"104000090_06.09.2010","H",0.89,1.04,218,6.812,1.697,7,13,"104000090","06.09.2010"
"104000090_08.09.2011","H",1,1.11,232,7.25,1.596,7,14,"104000090","08.09.2011"
"104000090_10.09.2006","H",1,1.1,229,7.156,1.661,7,14,"104000090","10.09.2006"
"104000090_13.09.2018","H",1,1.03,182,6.741,1.549,7,14,"104000090","13.09.2018"
"104000090_13.09.2019","H",1.11,1.07,189,7,1.642,7,15,"104000090","13.09.2019"
"104000090_14.09.2015","H",1.11,1.06,200,6.897,1.569,7,15,"104000090","14.09.2015"
"104000090_14.09.2016","H",1,1.07,182,7,1.536,7,14,"104000090","14.09.2016"
"104000090_14.09.2017","H",1,1.01,198,6.6,1.677,7,14,"104000090","14.09.2017"
"104000090_17.09.2013","H",1,1.06,215,6.935,1.62,7,14,"104000090","17.09.2013"
"104000090_17.09.2014","H",1.11,1.08,197,7.036,1.648,7,15,"104000090","17.09.2014"
"104000090_19.09.2012","H",1,1.03,208,6.71,1.614,7,14,"104000090","19.09.2012"
"104000090_20.09.2008","H",1.11,1.06,187,6.926,1.612,7,15,"104000090","20.09.2008"
"104000090_21.09.2007","H",1,1.04,218,6.812,1.627,7,14,"104000090","21.09.2007"
"104000090_23.09.2009","H",1,1.08,225,7.031,1.682,7,14,"104000090","23.09.2009"
"104000090_23.10.2004","H",0.89,0.97,145,6.304,1.661,7,13,"104000090","23.10.2004"
"104000092_01.06.2007","H",1.11,1.05,199,6.862,1.736,7,15,"104000092","01.06.2007"
"104000092_02.06.2010","H",1.11,1.01,211,6.594,1.786,7,15,"104000092","02.06.2010"
"104000092_02.06.2016","H",1.11,1.05,192,6.857,1.668,7,15,"104000092","02.06.2016"
"104000092_05.06.1998","H",1.11,1.1,180,7.2,1.789,7,15,"104000092","05.06.1998"
"104000092_05.06.2009","H",1.11,1.08,204,7.034,1.825,7,15,"104000092","05.06.2009"
"104000092_06.06.2004","H",1.11,0.99,201,6.484,1.801,7,15,"104000092","06.06.2004"
"104000092_06.06.2017","H",1.11,0.97,146,6.348,1.799,6,15,"104000092","06.06.2017"
"104000092_07.06.2015","H",1.11,1.07,202,6.966,1.703,7,15,"104000092","07.06.2015"
"104000092_08.06.2001","H",1,0.94,154,6.16,1.509,7,14,"104000092","08.06.2001"
"104000092_08.06.2012","H",1.11,0.99,200,6.452,1.845,7,15,"104000092","08.06.2012"
"104000092_08.06.2014","H",1.11,0.99,168,6.462,1.813,7,15,"104000092","08.06.2014"
"104000092_08.06.2019","H",1,1.05,171,6.84,1.622,6,14,"104000092","08.06.2019"
"104000092_09.06.1999","H",1.11,1,170,6.538,1.453,7,15,"104000092","09.06.1999"
"104000092_09.06.2006","H",1.11,0.99,161,6.44,1.771,7,15,"104000092","09.06.2006"
"104000092_11.06.1997","H",1.11,0.97,120,6.316,1.761,6,15,"104000092","11.06.1997"
"104000092_15.06.2000","H",1.11,0.99,155,6.458,1.688,7,15,"104000092","15.06.2000"
"104000092_17.06.2003","H",1,1.03,188,6.714,1.633,7,14,"104000092","17.06.2003"
"104000092_18.06.2018","H",1.11,1.02,180,6.667,1.699,6,15,"104000092","18.06.2018"
"104000092_20.06.2005","H",1.11,1,169,6.5,1.707,6,15,"104000092","20.06.2005"
"104000092_22.05.2008","H",1.11,1.03,209,6.742,1.721,7,15,"104000092","22.05.2008"
"104000092_23.05.2011","H",1.11,1.06,193,6.893,1.766,6,15,"104000092","23.05.2011"
"104000092_31.05.2013","H",1.11,0.97,197,6.355,1.778,7,15,"104000092","31.05.2013"
"104000094_01.06.2010","H",1.11,1.01,151,6.565,1.859,7,15,"104000094","01.06.2010"
"104000094_01.06.2016","H",1.11,1.02,167,6.68,1.852,6,15,"104000094","01.06.2016"
"104000094_02.06.2007","H",1.11,1.05,192,6.857,1.842,7,15,"104000094","02.06.2007"
"104000094_04.06.2009","H",1.11,1.02,160,6.667,1.874,7,15,"104000094","04.06.2009"
"104000094_04.06.2017","H",1.11,0.99,188,6.483,1.824,7,15,"104000094","04.06.2017"
"104000094_06.06.2015","H",1.11,1.01,159,6.625,1.868,7,15,"104000094","06.06.2015"
"104000094_07.06.1998","H",1,1.06,139,6.95,1.903,7,14,"104000094","07.06.1998"
"104000094_07.06.2004","H",1,1.03,189,6.75,1.901,7,14,"104000094","07.06.2004"
"104000094_07.06.2012","H",1,0.98,173,6.407,1.889,6,14,"104000094","07.06.2012"
"104000094_07.06.2013","H",0.89,1.04,210,6.774,1.96,7,13,"104000094","07.06.2013"
"104000094_07.06.2014","H",0.89,0.97,165,6.346,1.93,7,13,"104000094","07.06.2014"
"104000094_08.06.2002","H",0.89,1.07,196,7,1.95,7,13,"104000094","08.06.2002"
"104000094_09.06.2001","H",1,1.02,160,6.667,1.867,6,14,"104000094","09.06.2001"
"104000094_10.06.2019","H",1,1,169,6.5,1.983,7,14,"104000094","10.06.2019"
"104000094_12.06.1997","H",1,1.1,187,7.192,1.882,7,14,"104000094","12.06.1997"
"104000094_12.06.1999","H",0.89,1.04,176,6.769,1.918,7,13,"104000094","12.06.1999"
"104000094_16.06.2000","H",0.89,1.05,171,6.84,1.931,6,13,"104000094","16.06.2000"
"104000069_26.05.1998","M",0.44,0.6,16,4,1.85,0,9,"104000069","26.05.1998"
"104000071_01.10.2011","H",1.11,1.01,128,6.737,1.348,7,15,"104000071","01.10.2011"
"104000071_04.09.2016","H",1.11,1,133,6.65,1.33,7,15,"104000071","04.09.2016"
"104000071_06.09.2018","H",1.11,0.99,146,6.636,1.349,7,15,"104000071","06.09.2018"
"104000071_07.09.2017","H",1.11,1.03,124,6.889,1.329,7,15,"104000071","07.09.2017"
"104000071_10.09.2005","H",1.11,0.97,161,6.44,1.422,7,15,"104000071","10.09.2005"
"104000071_15.09.2015","H",1.11,1.01,114,6.706,1.332,7,15,"104000071","15.09.2015"
"104000071_18.09.2008","H",1,0.95,146,6.348,1.456,7,14,"104000071","18.09.2008"
"104000071_18.09.2010","H",1.11,0.98,131,6.55,1.343,7,15,"104000071","18.09.2010"
"104000071_21.09.2006","H",1.11,0.99,171,6.577,1.531,7,15,"104000071","21.09.2006"
"104000071_21.09.2009","H",1.11,1.02,143,6.81,1.345,7,15,"104000071","21.09.2009"
"104000071_21.09.2014","H",1.11,0.98,118,6.556,1.331,7,15,"104000071","21.09.2014"
"104000071_23.09.2012","H",1.11,0.99,119,6.611,1.39,7,15,"104000071","23.09.2012"
"104000071_23.09.2013","H",1.11,1.01,128,6.737,1.388,7,15,"104000071","23.09.2013"
"104000071_28.09.2007","H",1.11,1.04,145,6.905,1.569,7,15,"104000071","28.09.2007"
"104000071_30.09.2019","H",1.11,1.01,128,6.737,1.265,6,15,"104000071","30.09.2019"
"104000073_02.09.2005","G",0.89,0.9,129,5.864,1.518,7,13,"104000073","02.09.2005"
"104000073_07.09.2010","H",1,1,164,6.56,1.448,7,14,"104000073","07.09.2010"
"104000073_09.09.2011","H",0.89,0.94,154,6.16,1.339,7,13,"104000073","09.09.2011"
"104000073_12.09.2016","H",1.11,0.97,164,6.308,1.348,7,15,"104000073","12.09.2016"
"104000073_13.09.2017","H",0.89,0.94,147,6.125,1.422,7,13,"104000073","13.09.2017"
"104000073_13.09.2019","H",1.11,1.01,138,6.571,1.334,6,15,"104000073","13.09.2019"
"104000073_14.09.2015","G",0.78,0.86,84,5.6,1.319,0,12,"104000073","14.09.2015"
"104000073_14.09.2018","H",1,0.93,146,6.083,1.387,7,14,"104000073","14.09.2018"
"104000073_17.09.2013","H",1,0.99,162,6.48,1.388,7,14,"104000073","17.09.2013"
"104000073_17.09.2014","H",1.11,0.97,159,6.36,1.36,7,15,"104000073","17.09.2014"
"104000073_18.09.2012","H",1,0.99,161,6.44,1.371,7,14,"104000073","18.09.2012"
"104000073_19.09.2006","H",1,0.98,141,6.409,1.522,7,14,"104000073","19.09.2006"
"104000073_21.09.2007","H",1,0.97,152,6.333,1.563,7,14,"104000073","21.09.2007"
"104000073_21.09.2008","H",1,0.97,146,6.348,1.578,7,14,"104000073","21.09.2008"
"104000073_23.09.2009","H",0.89,0.95,149,6.208,1.472,7,13,"104000073","23.09.2009"
"104000073_23.10.2004","H",1,0.99,123,6.474,1.586,7,14,"104000073","23.10.2004"
"104000074_01.10.2007","H",1.6,1.26,217,6.781,2.099,7,13,"104000074","01.10.2007"
"104000074_01.10.2011","H",1.8,1.24,213,6.656,1.565,7,14,"104000074","01.10.2011"
"104000074_01.11.2004","H",1.8,1.22,151,6.565,1.816,7,14,"104000074","01.11.2004"
"104000074_06.10.2006","H",1.8,1.27,218,6.812,1.898,7,14,"104000074","06.10.2006"
"104000074_11.09.2019","H",1.8,1.22,210,6.562,1.638,7,14,"104000074","11.09.2019"
"104000074_13.09.2015","H",1.8,1.26,230,6.765,1.453,7,14,"104000074","13.09.2015"
"104000074_15.09.2018","H",1.8,1.26,230,6.765,1.677,7,14,"104000074","15.09.2018"
"104000074_17.09.2013","H",2,1.25,234,6.686,1.605,7,15,"104000074","17.09.2013"
"104000074_18.09.2016","H",2,1.23,211,6.594,1.571,7,15,"104000074","18.09.2016"
"104000074_19.09.2017","H",1.8,1.23,192,6.621,1.619,7,14,"104000074","19.09.2017"
"104000074_23.09.2005","H",1.8,1.26,196,6.759,1.677,7,14,"104000074","23.09.2005"
"104000074_25.09.2012","H",1.8,1.26,216,6.75,1.569,7,14,"104000074","25.09.2012"
"104000074_26.09.2010","H",2,1.18,178,6.357,1.732,7,15,"104000074","26.09.2010"
"104000074_26.09.2014","H",1.6,1.17,163,6.269,1.538,7,13,"104000074","26.09.2014"
"104000074_27.09.2008","H",1.8,1.25,202,6.733,1.818,7,14,"104000074","27.09.2008"
"104000074_29.09.2009","H",2,1.24,207,6.677,1.853,7,15,"104000074","29.09.2009"
"104000075_07.09.2010","G",1,0.88,75,5.769,1.345,5,14,"104000075","07.09.2010"
"104000075_09.09.2011","G",0.89,0.8,68,5.231,1.268,5,13,"104000075","09.09.2011"
"104000075_10.09.2016","G",0.89,0.82,64,5.333,1.153,5,13,"104000075","10.09.2016"
"104000075_12.09.2019","G",0.89,0.81,58,5.273,1.295,5,13,"104000075","12.09.2019"
"104000075_14.09.2018","G",0.78,0.88,69,5.75,1.262,5,12,"104000075","14.09.2018"
"104000075_15.09.2017","G",0.89,0.82,59,5.364,1.411,5,13,"104000075","15.09.2017"
"104000075_18.09.2013","G",0.89,0.81,58,5.273,1.273,5,13,"104000075","18.09.2013"
