"site_id","sgn_id","sample_id","year","month","day","AGAPETUS SP.","AMELETUS INOPINATUS","AMPHINEMURA STANDFUSSI","AMPHINEMURA SULCICOLLIS","ANCYLUS FLUVIATILIS","ANTOCHA VITRIPENNIS","ASELLUS SP.","ATHRIPSODES SP.","AUSTROPOTAMOBIUS PALLIPES","BAETIS SP.","BRACHYCENTRUS SUBNUBILUS","BRACHYPTERA RISI","CAENIS SP.","CENTROPTILUM LUTEOLUM","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CRANGONYX PSEUDOGRACILIS","DICRANOTA SP.","DINOCRAS CEPHALOTES","ELMIS AENEA AD.","ELODES SP. LV.","ELOEOPHILA SP.","EMPIDIDAE GEN. SP.","EPHEMERA SP.","ERPOBDELLA OCTOCULATA","ESOLUS PARALLELEPIPEDUS AD.","GALBA TRUNCATULA","GAMMARUS PULEX","GLOSSIPHONIA COMPLANATA","GOERIDAE GEN. SP.","GYRAULUS ALBUS","GYRAULUS CRISTA","HELOBDELLA STAGNALIS","HEPTAGENIIDAE GEN. SP.","HEXATOMA SP.","HYDRACHNIDIA GEN. SP.","HYDRAENA GRACILIS AD.","HYDROPHILIDAE GEN. SP. AD.","HYDROPSYCHE SILTALAI","HYDROPTILA SP.","ISOPERLA GRAMMATICA","ITHYTRICHIA SP.","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS VOLCKMARI AD.","LYPE SP.","MICRONECTA SP.","MYSTACIDES SP.","NEMATODA GEN. SP.","NEMOURA AVICULARIS","NEMOURA CAMBRICA","NEMOURA CAMBRICA/ERRATICA","NEMURELLA PICTETII","NEOLIMNOMYIA SP.","OLIGOCHAETA GEN. SP.","ORECTOCHILUS VILLOSUS AD.","OREODYTES DAVISII AD.","OREODYTES SANMARKII AD.","OULIMNIUS SP. AD.","PEDICIA SP.","PERLA BIPUNCTATA","PERLODES MICROCEPHALUS","PILARIA SP.","PLECTROCNEMIA SP.","POLYCENTROPUS SP.","POTAMOPYRGUS ANTIPODARUM","POTAMOPYRGUS ANTIPODARUM.1","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","RADIX BALTHICA","RHYACOPHILA SP.","SERICOSTOMA PERSONATUM","SERRATELLA IGNITA","SIALIS FULIGINOSA","SIMULIIDAE GEN. SP.","SIPHLONURUS LACUSTRIS","SIPHONOPERLA TORRENTIUM SSP.","SPHAERIIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","THEROMYZON TESSULATUM","TIPULA SP.","TROCHETA SUBVIRIDIS"
109000411,"ENG_043_MZB_LO_1","109000411_29.04.2010",2010,"4",29,4,0,0,0,14,0,0,1,0,226,0,0,140,0,3,426,0,32,0,4,0,0,0,1,0,0,0,27,0,2,1,0,1,38,0,31,5,0,5,27,2,0,8,1,1,0,0,0,0,1,0,0,0,0,0,0,55,1,0,0,2,0,0,0,0,0,22,23,23,0,0,5,0,1,0,2,0,0,0,0,12,0,0,0,0
109000411,"ENG_043_MZB_LO_1","109000411_17.05.2011",2011,"5",17,1,0,0,0,4,0,2,7,0,11,0,0,60,0,8,20,3,27,0,4,0,0,0,3,1,0,0,11,0,2,0,0,2,41,0,10,0,0,4,23,0,0,2,40,0,2,0,0,0,4,0,0,0,0,0,0,200,2,0,0,6,3,0,0,0,0,5,11,11,0,1,3,0,4,0,27,0,9,0,0,4,0,0,0,0
109000411,"ENG_043_MZB_LO_1","109000411_23.05.2012",2012,"5",23,0,0,0,0,12,0,0,2,0,104,0,0,261,0,4,158,0,12,0,11,0,0,1,1,12,0,0,20,0,0,0,0,0,5,0,1,0,0,10,19,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,13,12,12,0,0,2,0,6,2,66,0,82,0,0,8,1,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_16.04.1997",1997,"4",16,0,1,0,54,1,0,0,0,0,47,0,1,55,0,0,0,0,0,3,19,0,0,0,0,0,22,0,0,0,0,0,0,0,152,3,0,3,0,3,11,11,0,0,1,218,1,41,0,0,0,0,0,0,0,0,0,0,0,1,5,13,0,5,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_15.04.1998",1998,"4",15,0,0,0,9,3,0,0,0,0,45,5,0,58,0,0,0,0,0,7,14,0,0,0,0,0,4,0,0,0,0,0,0,0,125,6,0,0,0,1,4,6,0,0,0,49,4,48,0,0,0,0,0,0,0,0,0,0,0,1,0,65,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_14.04.1999",1999,"4",14,0,0,0,0,1,0,0,0,0,52,0,0,16,0,0,0,0,3,4,6,0,0,0,0,0,9,0,0,0,0,0,0,0,15,17,0,2,0,0,0,1,0,0,0,28,3,77,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,9,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_12.04.2000",2000,"4",12,0,2,0,5,1,0,0,0,0,31,0,0,4,0,0,53,0,5,2,8,0,0,3,0,0,1,0,1,0,0,0,0,10,69,4,0,0,0,0,3,3,0,0,4,0,3,57,0,0,0,0,0,0,0,0,0,22,0,0,0,13,0,8,1,0,0,3,0,0,0,0,0,0,1,1,0,0,2,0,7,0,0,3,0,0
109000418,"ENG_043_MZB_LO_8","109000418_02.05.2001",2001,"5",2,0,1,0,2,1,0,0,0,0,29,0,0,13,0,0,5,0,2,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,91,2,0,0,0,0,1,3,0,0,1,183,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,19,0,3,0,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,7,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_17.04.2002",2002,"4",17,0,1,0,9,0,0,0,0,0,109,0,0,123,0,0,9,0,5,4,13,0,0,1,0,0,64,0,0,0,0,0,0,0,80,2,0,1,0,0,0,0,0,0,1,108,0,47,0,0,0,0,0,0,0,0,0,24,0,0,0,3,0,4,0,0,0,10,0,0,0,0,0,0,1,0,0,1,0,0,7,1,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_15.04.2003",2003,"4",15,0,2,0,12,0,0,0,0,0,231,0,0,27,0,0,453,0,6,0,11,0,0,2,0,0,46,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,196,0,32,0,0,0,0,0,1,0,0,0,115,0,1,7,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,7,2,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_14.04.2004",2004,"4",14,0,1,0,28,1,0,0,0,0,23,0,0,2,0,0,8,0,0,2,10,0,0,1,0,0,20,0,0,0,0,0,0,0,260,3,0,1,1,0,0,8,0,0,0,123,0,60,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_12.04.2005",2005,"4",12,0,0,0,24,0,0,0,0,0,79,0,0,3,0,0,7,0,5,1,34,0,0,2,0,0,53,0,0,0,0,0,0,0,159,4,0,1,0,0,0,2,0,0,0,75,1,36,0,0,0,0,0,1,0,0,0,19,0,1,0,8,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_12.04.2006",2006,"4",12,0,0,0,14,0,0,1,0,0,18,0,0,0,0,0,10,0,1,0,3,0,0,1,0,0,13,0,3,0,0,0,0,0,209,2,0,0,0,0,0,14,0,0,2,61,0,30,0,0,0,0,0,3,0,0,0,5,0,1,0,0,0,2,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_17.04.2007",2007,"4",17,0,0,0,10,1,0,0,0,0,27,0,0,8,0,0,45,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,52,5,0,0,0,3,12,5,0,0,0,32,2,25,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_15.04.2008",2008,"4",15,0,0,0,44,1,0,0,0,0,121,0,0,21,0,0,36,0,1,6,23,0,0,2,0,0,32,0,0,0,0,0,0,0,182,9,0,1,0,2,7,19,0,0,5,39,2,109,0,0,0,0,0,0,0,0,0,9,0,1,0,6,0,2,0,0,0,2,0,0,2,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_15.04.2009",2009,"4",15,0,0,0,16,0,0,0,0,0,166,0,0,0,0,0,35,0,2,3,21,0,0,0,0,0,14,0,1,0,0,0,0,0,63,1,0,1,0,0,4,1,0,0,0,49,2,55,0,0,0,0,0,0,0,0,0,15,0,0,2,12,0,6,1,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_14.04.2010",2010,"4",14,0,3,0,15,0,0,0,0,0,29,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,37,0,0,0,0,0,0,0,122,1,0,0,0,0,2,4,0,0,0,36,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_13.04.2011",2011,"4",13,0,0,0,13,0,0,0,0,0,47,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,21,0,0,0,0,0,0,0,190,1,0,0,0,0,3,1,0,0,1,32,1,38,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109000418,"ENG_043_MZB_LO_8","109000418_18.04.2012",2012,"4",18,0,4,0,19,0,0,0,0,0,76,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,143,3,0,0,0,0,0,6,0,0,1,41,1,36,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
