"site_id","sgn_id","sample_id","year","month","day","AGAPETUS OCHRIPES","AMELETUS INOPINATUS","APATANIA SP.","ARCTOPSYCHE LADOGENSIS","BAETIDAE GEN. SP.","BRACHYCENTRUS SUBNUBILUS","BRACHYPTERA RISI","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","COLEOPTERA GEN. SP. AD.","COLEOPTERA GEN. SP. LV.","DIPTERA GEN. SP.","ELMIS AENEA AD.","ELMIS AENEA LV.","EMPIDIDAE GEN. SP.","EPHEMERELLA SP.","GASTROPODA GEN. SP.","GLOSSOSOMA INTERMEDIUM","HEPTAGENIIDAE GEN. SP.","HYDRACHNIDIA GEN. SP.","HYDRAENA SP. AD.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","LEUCTRA SP.","LEUCTRIDAE/CAPNIIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","MICRASEMA SETIFERUM SETIFERUM","NEMATOCERA GEN. SP.","NEMATODA GEN. SP.","NEMATOMORPHA GEN. SP.","NEMOURIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PEDICIIDAE GEN. SP.","PERLODIDAE GEN. SP.","PLATYHELMINTHES GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","RADIX SP.","RHYACOPHILA SP.","SERICOSTOMA PERSONATUM","SILO PALLIPES","SIMULIIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","TAENIOPTERYX NEBULOSA","TIPULIDAE GEN. SP."
111000002,"NOR_029_MZB_LO_6","111000002_07.10.1983",1983,"10",7,0,1,0,23,1136,0,1,72,10,130,1,0,80,3,0,0,0,195,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,2,65,0,65,0,1,0,0,57,0,0,2,0,3,36
111000002,"NOR_029_MZB_LO_6","111000002_29.09.1987",1987,"9",29,0,0,0,0,416,0,0,21,0,105,0,0,36,0,0,0,0,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,46,0,2,0,0,23,0,0,0,0,3,4
111000002,"NOR_029_MZB_LO_6","111000002_29.09.1988",1988,"9",29,0,3,0,4,2056,0,0,15,0,4223,1,0,981,222,0,0,0,32,6,0,30,87,0,2,1,13,0,12,0,0,0,53,0,17,275,0,33,0,26,0,0,50,0,0,7,0,2,0
111000002,"NOR_029_MZB_LO_6","111000002_08.10.1991",1991,"10",8,0,16,0,32,400,0,0,16,0,5200,0,32,288,64,0,0,0,32,16,0,48,112,0,0,0,0,0,0,0,0,0,96,0,336,208,0,64,0,0,0,0,64,0,0,0,0,0,0
111000002,"NOR_029_MZB_LO_6","111000002_07.10.2012",2012,"10",7,1,96,36,14,776,2,0,36,48,208,0,0,0,0,1,176,0,21,0,0,96,20,1,0,18,402,0,13,0,56,8,0,0,80,64,0,72,0,11,80,0,98,16,0,0,1,1,0
111000002,"NOR_029_MZB_LO_6","111000002_09.10.2013",2013,"10",9,8,2,0,4,1448,0,0,112,6,312,18,0,0,8,8,48,0,80,0,0,24,4,2,0,16,328,0,24,0,62,0,0,0,116,104,0,144,0,2,8,2,80,0,8,16,0,20,0
111000002,"NOR_029_MZB_LO_6","111000002_08.10.2014",2014,"10",8,6,4,12,10,1868,0,0,96,8,1408,5,0,0,0,2,88,0,46,0,0,26,2,12,0,7,144,0,6,0,14,0,0,0,166,48,6,84,0,1,16,12,64,0,3,5,0,6,0
111000002,"NOR_029_MZB_LO_6","111000002_14.10.2015",2015,"10",14,2,2,42,16,1410,0,0,112,10,1148,3,0,0,0,0,132,0,78,0,0,50,8,4,0,5,190,0,2,0,6,0,0,0,225,72,2,116,0,6,32,2,24,0,1,28,0,14,0
111000002,"NOR_029_MZB_LO_6","111000002_27.10.2016",2016,"10",27,14,8,120,10,1174,0,0,92,30,1438,2,0,0,0,0,182,0,26,0,0,32,54,8,1,15,184,0,1,0,216,0,0,0,120,56,20,88,0,16,24,42,24,0,2,8,0,6,0
111000002,"NOR_029_MZB_LO_6","111000002_17.10.2017",2017,"10",17,6,10,100,8,1960,0,0,126,18,1120,0,0,0,0,4,122,0,24,0,0,48,72,16,0,7,242,0,2,0,156,0,0,0,85,4,22,100,0,10,32,28,32,0,3,10,0,6,0
111000002,"NOR_029_MZB_LO_6","111000002_10.10.2018",2018,"10",10,4,8,16,12,1856,0,2,26,20,1032,0,0,0,0,5,192,6,16,0,0,122,18,12,0,6,112,0,1,5,248,0,0,0,96,48,4,38,0,44,10,44,70,0,1,28,0,2,0
111000002,"NOR_029_MZB_LO_6","111000002_16.10.2019",2019,"10",16,2,12,16,12,1300,0,0,1,132,2112,1,0,0,0,12,448,8,16,0,1,112,24,8,1,36,52,48,4,1,736,0,0,0,202,112,8,44,1,10,8,28,36,0,0,8,0,8,1
111000003,"NOR_029_MZB_LO_7","111000003_23.09.1981",1981,"9",23,0,0,0,0,735,0,0,0,0,102,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35
111000003,"NOR_029_MZB_LO_7","111000003_07.10.1983",1983,"10",7,0,0,0,1,1469,0,0,90,0,350,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,6,0,0,132,0,0,3,0,1,78
111000003,"NOR_029_MZB_LO_7","111000003_03.10.1985",1985,"10",3,0,0,0,0,7,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
111000003,"NOR_029_MZB_LO_7","111000003_03.11.1986",1986,"11",3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111000003,"NOR_029_MZB_LO_7","111000003_29.09.1987",1987,"9",29,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,1,0
111000003,"NOR_029_MZB_LO_7","111000003_29.09.1988",1988,"9",29,0,0,0,1,21,0,0,34,0,248,1,0,1,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,2,1,0,10,0,0,0,0,126,0,0,1,0,0,0
111000003,"NOR_029_MZB_LO_7","111000003_08.10.1991",1991,"10",8,0,0,0,8,32,0,0,224,0,702,0,0,0,64,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,48,0,72,0,0,16,0,0,0,0,64,0,0,0,0,0,0
111000003,"NOR_029_MZB_LO_7","111000003_07.10.2012",2012,"10",7,0,0,0,0,1,0,0,1,2,40,0,0,0,1,0,0,0,0,0,0,1,8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,6,0,0,0,0,0,0
111000003,"NOR_029_MZB_LO_7","111000003_09.10.2013",2013,"10",9,0,0,0,4,8,0,0,4,12,64,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1,28,4,0,0,4,0,44,0,0,0,0,24,0
111000003,"NOR_029_MZB_LO_7","111000003_08.10.2014",2014,"10",8,0,0,0,5,9,0,0,6,2,1136,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,60,30,46,0,0,0,0,16,0,0,0,0,1,0
111000003,"NOR_029_MZB_LO_7","111000003_15.10.2015",2015,"10",15,0,0,0,2,90,0,0,2,0,78,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,10,13,0,0,0,0,4,0,0,0,0,1,0
111000003,"NOR_029_MZB_LO_7","111000003_27.10.2016",2016,"10",27,0,0,18,1,270,0,0,28,14,335,2,0,0,3,0,0,6,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,6,8,12,0,0,0,0,18,0,0,0,0,22,0
111000003,"NOR_029_MZB_LO_7","111000003_17.10.2017",2017,"10",17,0,0,10,2,884,0,0,18,1,288,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,1,0,0,0,0,5,8,6,0,0,0,0,12,0,0,0,0,4,0
111000003,"NOR_029_MZB_LO_7","111000003_09.10.2018",2018,"10",9,0,1,0,1,80,0,8,112,32,696,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,48,6,0,0,0,0,40,0,0,16,0,3,0
111000003,"NOR_029_MZB_LO_7","111000003_15.10.2019",2019,"10",15,0,0,6,3,272,0,4,152,4,792,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,8,3,0,1,0,0,8,0,0,2,0,9,0
