"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGRIOTYPUS ARMATUS","ANTOCHA VITRIPENNIS","APATANIA MULIEBRIS","ASELLIDAE GEN. SP.","ASTACIDAE GEN. SP.","BAETIDAE GEN. SP.","BERAEIDAE GEN. SP.","BITHYNIIDAE GEN. SP.","BRACHYCENTRIDAE GEN. SP.","CAENIDAE GEN. SP.","CALOPTERYGIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHRYSOMELIDAE GEN. SP.","CORIXIDAE GEN. SP.","CRANGONYCTIDAE GEN. SP.","CURCULIONIDAE GEN. SP.","DENDROCOELIDAE GEN. SP.","DICRANOTA SP.","DIXIDAE GEN. SP.","DUGESIIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ELMIDAE GEN. SP.","ELODES SP.","ELOEOPHILA SP.","EMPIDIDAE GEN. SP.","EPHEMERELLIDAE GEN. SP.","EPHEMERIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","GAMMARIDAE GEN. SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GORDIIDAE GEN. SP.","GYRINIDAE GEN. SP.","HALIPLIDAE GEN. SP.","HEPTAGENIIDAE GEN. SP.","HYDRAENIDAE GEN. SP.","HYDRIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","LEPIDOPTERA GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MOLANNIDAE GEN. SP.","MUSCIDAE GEN. SP.","NEMATODA GEN. SP.","NEMATOMORPHA GEN. SP.","NEMOURIDAE GEN. SP.","NERITIDAE GEN. SP.","ODONTOCERIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PERLODIDAE GEN. SP.","PHRYGANEIDAE GEN. SP.","PHYSA FONTINALIS","PHYSELLA ACUTA","PISCICOLIDAE GEN. SP.","PLANARIIDAE GEN. SP.","PLANORBIDAE GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","PTYCHOPTERIDAE GEN. SP.","RHYACOPHILIDAE GEN. SP.","SCIOMYZIDAE GEN. SP.","SERICOSTOMATIDAE GEN. SP.","SIALIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","SUCCINEIDAE GEN. SP.","TIPULIDAE GEN. SP.","VALVATIDAE GEN. SP.","VELIIDAE GEN. SP."
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-10.10.2016","10.10.2016",2016,10,10,0,0,0,0,0,357,0,0,0,1,0,0,190,0,0,0,0,0,4,1,0,34,214,0,0,1,35,0,0,742,3,92,16,0,0,0,2,0,0,2,2,0,0,0,0,0,0,17,52,0,0,0,0,0,0,0,80,7,0,0,0,6,70,14,1,0,0,0,14,0,17,0,963,0,1,0,0,0,0
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-04.10.2017","04.10.2017",2017,10,4,0,0,2,0,0,104,0,0,0,0,0,0,426,0,0,0,0,0,9,3,0,2,83,0,0,0,15,0,0,409,8,29,8,0,0,0,11,0,0,1,1,0,0,0,0,0,2,10,10,0,0,0,0,0,0,0,70,26,0,0,0,3,66,15,0,0,0,0,23,0,15,0,624,0,0,0,0,0,0
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-02.10.2018","02.10.2018",2018,10,2,0,0,3,0,0,280,0,0,0,0,0,1,267,0,0,0,0,0,5,7,0,10,318,0,0,0,20,0,0,1330,2,152,31,0,0,0,23,2,0,2,1,0,0,0,0,0,2,20,16,0,0,0,0,0,0,0,100,28,0,0,0,3,85,68,0,0,0,0,24,0,10,0,201,1,0,0,0,0,0
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-28.10.2019","28.10.2019",2019,10,28,1,0,1,0,0,31,0,0,0,0,0,0,18,0,0,0,0,0,2,5,0,3,230,2,0,2,9,0,2,1560,2,368,22,0,0,0,4,0,0,5,1,0,0,0,0,0,0,10,61,0,0,1,0,1,0,0,30,6,0,0,0,3,80,71,1,5,0,0,23,0,6,0,15,1,2,0,0,0,0
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-07.11.2006","07.11.2006",2006,11,7,0,0,0,23,0,256,0,4,0,50,0,3,49,0,0,0,0,5,0,2,0,0,943,0,0,1,6,6,8,350,7,0,40,0,0,0,4,0,0,2,20,0,0,55,37,0,0,1,6,0,5,1,0,0,18,0,51,0,0,0,0,0,4,43,9,0,0,0,9,0,22,0,85,127,0,0,7,0,0
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-03.10.2007","03.10.2007",2007,10,3,0,0,0,0,0,92,0,56,0,96,0,8,2248,0,0,0,0,4,0,0,0,1,734,0,0,4,1,4,8,308,12,12,24,0,0,0,0,0,8,256,24,8,0,224,40,44,0,0,69,0,1,0,0,0,4,0,324,0,1,0,0,0,0,333,12,0,0,0,12,0,4,4,56,72,0,0,9,1,0
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-21.10.2008","21.10.2008",2008,10,21,0,0,0,1,0,195,0,7,0,1,0,1,82,0,0,0,0,0,0,0,0,2,445,0,0,0,3,8,5,2206,48,21,110,0,0,0,1,1,0,1701,209,4,0,0,1,3,0,1,14,1,0,0,0,0,15,0,11,0,0,0,0,1,0,40,2,0,0,0,11,0,30,0,104,11,0,0,4,0,0
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-28.10.2009","28.10.2009",2009,10,28,0,0,0,5,0,20,0,20,0,100,5,15,50,1,0,0,0,0,0,0,0,30,40,0,0,1,20,15,1,300,15,20,20,0,0,1,10,1,1,500,30,2,0,0,40,30,0,1,12,0,0,1,0,0,0,0,30,0,1,0,0,2,0,16,0,0,0,0,1,0,20,6,2,50,0,0,2,0,0
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-15.10.2010","15.10.2010",2010,10,15,0,0,0,0,0,3,0,30,0,10,4,7,88,0,0,0,0,0,0,0,0,2,247,0,0,0,0,16,3,657,33,4,12,0,3,0,0,1,0,323,15,3,0,0,32,1,0,2,17,1,0,0,0,0,1,0,92,0,0,0,0,0,0,22,2,0,0,0,0,0,19,1,1,112,0,0,4,0,0
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-08.10.2013","08.10.2013",2013,10,8,0,0,0,0,0,6,0,9,0,118,1,15,68,0,0,0,0,0,0,0,0,1,369,0,0,1,3,54,0,573,65,17,459,0,0,0,1,4,2,42,9,6,0,0,60,3,0,6,4,3,0,0,0,0,7,0,53,0,0,0,0,1,0,20,0,0,0,0,1,0,27,3,0,179,0,0,9,0,1
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-09.10.2014","09.10.2014",2014,10,9,0,0,0,0,0,31,0,4,0,600,2,28,36,0,65,0,0,0,0,0,0,6,521,0,0,0,0,65,1,780,19,3,22,0,0,0,0,4,2,8,1,0,1,0,64,8,0,0,0,1,0,0,0,0,1,0,20,0,0,0,0,0,0,5,0,0,0,0,0,0,5,6,0,207,0,0,0,0,0
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-16.10.2015","16.10.2015",2015,10,16,0,0,0,0,0,21,0,20,0,196,2,1,51,0,2,0,0,1,0,1,0,18,246,0,0,1,1,8,0,84,4,0,1,1,0,0,1,0,26,44,0,2,0,0,27,7,0,1,35,0,0,0,0,0,0,0,33,0,0,1,0,2,0,23,4,0,0,0,0,0,1,2,7,321,0,0,0,0,0
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-14.10.2016","14.10.2016",2016,10,14,0,0,0,24,0,63,0,1,0,265,1,0,175,0,0,0,0,0,1,3,0,6,221,0,0,0,0,2,4,150,20,0,2,0,1,0,0,0,0,504,3,36,0,0,73,8,0,6,9,1,0,0,0,0,0,0,40,0,0,0,0,7,0,10,17,0,2,0,0,0,14,6,5,296,0,0,0,0,0
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-24.10.2017","24.10.2017",2017,10,24,0,1,0,7,0,38,0,6,0,419,3,15,131,0,0,0,0,0,0,0,0,10,126,0,0,0,2,9,7,90,42,0,5,0,0,2,0,0,0,1500,4,0,0,0,134,5,0,4,4,1,0,1,0,0,1,0,60,0,0,0,0,3,0,15,10,0,0,0,0,0,5,42,2,1737,0,0,0,0,0
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-24.10.2018","24.10.2018",2018,10,24,0,0,0,22,0,8,0,6,0,487,21,0,86,0,0,0,0,3,0,0,1,1,448,0,0,0,0,6,14,360,17,1,6,0,0,2,0,1,0,390,1,1,0,0,161,1,0,6,4,1,0,0,0,1,0,0,25,0,0,0,0,7,0,95,3,0,0,0,0,0,37,15,0,280,0,0,0,1,0
"ENG_044_MZB_LO_2","ENG_044_MZB_LO_2-08.10.2019","08.10.2019",2019,10,8,0,0,0,1,0,46,0,22,0,186,6,2,379,1,0,0,0,0,0,0,0,0,522,0,0,0,3,9,3,468,41,1,29,0,0,0,0,0,2,115,1,1,0,0,21,0,2,6,5,0,0,0,0,1,1,0,96,0,0,0,0,2,0,50,6,0,0,0,0,0,8,3,3,85,0,0,0,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-08.11.2006","08.11.2006",2006,11,8,0,0,0,0,0,208,0,0,0,1,0,4,8,0,0,0,0,2,0,0,0,0,148,0,0,0,0,14,0,2492,0,40,29,0,1,0,196,0,0,180,9,36,0,3,2,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,12,4,0,0,1,0,4,0,2,0,8,4,1,0,33,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-03.10.2007","03.10.2007",2007,10,3,0,0,0,0,0,491,0,0,0,0,0,0,29,0,0,0,0,0,0,0,9,1,192,0,0,4,3,36,0,4776,0,7,144,0,1,0,78,0,0,117,9,4,0,2,3,0,0,13,0,0,0,0,0,0,0,4,66,0,0,0,0,0,4,2,2,0,1,1,11,0,1,0,142,5,0,0,47,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-21.10.2008","21.10.2008",2008,10,21,0,0,0,0,0,612,0,0,0,2,0,0,8,0,0,0,0,0,0,0,1,0,231,0,0,0,2,6,0,9287,0,29,20,0,2,0,150,2,0,29,42,6,0,0,0,2,0,7,0,0,1,0,0,0,1,1,23,0,0,0,0,1,34,9,2,2,0,0,23,0,0,0,8,2,0,0,66,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-22.10.2009","22.10.2009",2009,10,22,0,0,0,0,1,130,0,0,0,7,0,0,20,0,0,0,0,0,0,0,0,4,100,0,0,3,0,30,0,4300,0,1,41,0,2,0,45,1,0,180,40,2,0,4,3,0,0,5,0,0,4,0,0,0,0,7,7,0,0,0,0,0,2,7,12,0,0,0,10,0,0,0,14,2,0,0,24,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-21.10.2010","21.10.2010",2010,10,21,0,0,0,0,0,79,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,62,0,0,0,0,22,0,3344,0,4,51,0,0,0,15,0,0,297,7,1,0,0,3,0,0,9,3,0,0,2,0,0,0,3,18,0,0,0,0,0,2,21,4,0,4,0,7,0,1,0,48,19,0,0,60,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-16.10.2012","16.10.2012",2012,10,16,0,0,0,0,0,68,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,31,0,0,0,2,30,0,1648,0,1,30,0,0,1,2,0,0,27,2,8,0,0,0,0,0,0,0,0,2,0,0,0,0,5,41,0,0,0,0,1,2,4,0,0,0,0,12,0,0,0,77,9,0,0,24,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-30.10.2013","30.10.2013",2013,10,30,0,0,0,0,0,126,0,0,0,55,0,1,260,0,0,0,0,0,0,0,0,12,39,0,0,1,4,22,0,3678,0,0,10,0,1,0,26,0,1,169,4,42,0,1,6,2,0,11,1,0,1,0,0,0,0,2,90,0,0,0,0,0,21,16,0,0,0,1,25,0,0,0,2,30,0,0,26,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-20.10.2014","20.10.2014",2014,10,20,0,1,0,0,0,78,0,0,0,44,0,0,28,0,0,0,0,0,41,0,0,0,115,0,0,1,27,28,1,1088,0,4,30,0,2,0,82,3,1,96,20,11,0,1,13,2,0,6,1,0,1,1,0,0,1,2,20,0,0,0,0,0,19,16,1,0,0,0,12,0,1,0,50,5,1,0,3,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-23.10.2015","23.10.2015",2015,10,23,0,0,0,0,0,168,0,0,0,432,0,0,61,0,0,0,0,0,8,0,0,9,288,0,1,0,0,24,0,1685,1,2,17,0,2,0,29,1,0,1848,30,389,0,2,6,22,1,2,2,0,2,0,0,0,0,8,48,0,0,0,14,0,19,47,9,0,1,0,12,0,0,0,59,68,0,0,0,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-10.10.2016","10.10.2016",2016,10,10,0,0,0,0,0,91,0,0,1,720,0,0,105,0,0,0,0,0,2,0,0,1,132,0,0,1,2,102,0,1120,2,2,9,0,0,0,27,1,2,1086,9,29,0,5,11,16,1,9,196,0,3,0,0,0,2,3,80,0,0,20,0,0,41,14,16,0,0,0,4,0,0,0,7,29,0,0,0,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-23.10.2017","23.10.2017",2017,10,23,0,1,0,0,0,37,0,0,0,1350,1,2,59,0,1,0,0,0,9,9,0,2,51,0,0,1,1,50,0,1330,0,0,1,0,2,0,110,0,60,2276,2,238,0,0,9,40,2,2,1,0,0,0,0,0,4,4,90,0,0,48,0,0,41,62,51,2,0,0,2,0,0,0,0,1,0,0,0,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-18.10.2018","18.10.2018",2018,10,18,0,3,0,0,0,120,0,0,1,114,3,1,64,0,1,0,1,0,4,0,0,0,212,0,0,0,1,32,0,1115,0,3,3,0,5,0,260,4,12,182,16,106,0,0,12,5,2,3,0,0,1,0,0,0,1,2,100,0,0,7,0,0,10,26,7,1,0,0,9,0,0,0,5,4,0,0,1,0,0
"ENG_044_MZB_LO_5","ENG_044_MZB_LO_5-15.10.2019","15.10.2019",2019,10,15,0,0,0,0,0,117,0,0,0,240,0,0,125,0,0,0,0,0,17,0,0,0,223,0,1,1,0,16,1,5000,1,145,4,0,2,0,39,1,0,1240,16,46,0,3,4,1,2,0,1,0,0,0,0,0,0,7,60,0,0,0,0,0,12,8,4,0,0,0,14,0,0,0,7,16,0,0,1,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-08.11.2006","08.11.2006",2006,11,8,0,0,0,57,0,608,1,7,0,239,0,5,53,0,0,0,0,2,0,0,1320,0,642,0,0,2,7,27,0,2787,4,10,14,0,0,1,29,0,0,3,158,2,0,30,28,2,0,1,1,0,0,0,0,0,0,0,200,0,0,0,0,0,0,6,8,0,0,0,1,0,0,0,510,55,0,0,8,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-03.10.2007","03.10.2007",2007,10,3,0,0,0,2,0,227,0,4,0,12,1,3,124,0,2,0,0,1,0,6,29,0,144,0,0,0,8,9,2,2502,5,3,29,0,4,1,6,1,0,8,82,1,0,0,8,0,0,0,0,0,1,1,0,0,1,0,35,0,0,0,0,0,0,3,18,0,0,0,7,0,0,0,311,3,0,0,3,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-16.10.2008","16.10.2008",2008,10,16,0,0,0,9,0,642,0,6,0,63,0,9,105,0,6,0,0,0,0,2,98,0,290,0,0,1,35,8,3,1423,4,47,51,0,0,2,47,0,0,31,103,3,0,0,17,4,0,3,2,0,0,7,0,0,0,0,34,0,0,0,0,0,0,1,4,0,0,0,3,0,4,0,178,289,0,0,6,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-20.10.2009","20.10.2009",2009,10,20,0,0,0,8,0,40,0,15,0,110,0,1,130,0,0,0,0,4,0,0,200,1,160,0,0,2,20,100,4,2000,6,20,40,0,4,3,12,0,0,40,40,15,0,0,30,3,0,16,10,1,3,1,0,0,0,0,50,0,0,0,0,1,0,52,7,0,0,0,6,0,7,0,90,60,0,0,12,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-19.10.2010","19.10.2010",2010,10,19,0,0,0,10,0,190,0,10,1,400,0,20,500,0,0,1,0,1,0,0,90,1,600,0,0,10,1,20,12,6700,15,50,80,0,2,2,20,0,0,80,100,7,0,0,200,8,0,3,20,0,7,1,0,0,0,0,600,0,0,0,0,0,0,62,0,0,0,0,12,0,15,0,180,400,0,0,8,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-26.10.2011","26.10.2011",2011,10,26,0,0,0,8,0,157,0,5,0,13,0,3,44,0,0,0,0,1,0,0,358,1,898,0,0,0,1,14,0,4684,7,13,25,0,0,4,0,0,0,463,46,1,0,2,12,0,0,4,2,0,3,1,0,0,0,0,46,0,0,0,0,0,0,34,0,1,0,0,2,0,3,0,340,63,0,0,7,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-22.10.2012","22.10.2012",2012,10,22,0,0,0,7,0,80,0,2,0,1,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,6,0,0,1900,3,12,100,0,0,0,6,0,0,30,8,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,3100,20,0,0,2,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-01.10.2013","01.10.2013",2013,10,1,0,0,0,11,0,1762,0,23,0,16,0,2,363,0,0,0,0,0,0,0,57,4,666,0,0,7,5,15,2,5261,10,8,92,0,9,16,37,0,0,74,891,6,0,1,2,0,0,1,18,0,5,0,0,0,5,0,24,0,0,0,0,1,0,12,1,1,0,0,19,0,9,0,1071,99,0,0,33,1,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-14.10.2014","14.10.2014",2014,10,14,0,0,0,8,0,1370,0,5,1,113,1,8,200,1,0,0,0,1,24,8,120,11,2754,0,0,2,35,86,3,6300,8,51,94,0,3,1,63,4,0,24,350,0,0,0,10,1,1,29,0,0,3,1,0,0,1,0,100,0,0,0,0,0,0,7,7,1,0,0,7,0,37,2,1547,21,0,1,2,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-16.10.2015","16.10.2015",2015,10,16,0,0,0,22,0,476,0,5,0,136,1,6,80,0,0,0,0,2,4,0,331,6,693,0,0,0,1,18,1,2549,2,27,16,0,11,0,21,2,0,15,60,5,0,0,14,6,0,11,30,0,3,1,0,0,0,0,120,0,0,0,0,0,0,2,14,0,0,0,15,0,18,0,607,28,0,0,0,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-18.10.2016","18.10.2016",2016,10,18,0,0,0,8,0,183,0,0,0,256,0,0,453,0,2,0,0,0,2,0,190,1,451,0,0,0,1,16,0,915,0,160,31,0,1,6,15,2,0,373,136,2,0,3,14,4,0,2,16,0,12,0,0,0,1,0,6,0,0,0,0,0,0,1,17,0,0,0,1,0,1,0,402,10,0,0,0,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-23.10.2017","23.10.2017",2017,10,23,2,1,0,18,0,580,0,2,0,478,0,3,35,0,0,0,0,2,4,8,210,0,852,0,0,0,3,12,3,3233,3,61,11,0,3,6,17,0,0,630,110,21,0,1,5,0,0,25,0,0,1,0,0,0,5,0,130,0,0,0,0,1,0,4,5,2,0,0,2,0,10,0,665,15,0,0,1,0,0
"ENG_044_MZB_LO_9","ENG_044_MZB_LO_9-25.10.2018","25.10.2018",2018,10,25,0,0,0,6,0,976,0,1,0,32,0,0,43,0,0,0,0,1,0,0,230,0,626,0,0,0,0,6,1,4738,6,219,7,0,3,2,72,3,0,640,1424,9,0,4,5,0,0,1,1,0,2,3,0,0,0,0,90,0,0,0,0,0,0,1,5,0,0,0,13,0,12,0,630,32,0,0,0,0,0
