"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGAPETUS OCHRIPES","AMELETUS INOPINATUS","APATANIA SP.","ARCTOPSYCHE LADOGENSIS","BAETIDAE GEN. SP.","BRACHYPTERA RISI","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","DIPTERA GEN. SP.","ELMINAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERELLA ARONI","EPHEMERELLA MUCRONATA","EPHEMEROPTERA GEN. SP.","GASTROPODA GEN. SP.","GLOSSOSOMA SP.","GYRAULUS ACRONICUS","HEPTAGENIIDAE GEN. SP.","HYDRACHNIDIA GEN. SP.","HYDRAENA SP.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LEUCTRIDAE/CAPNIIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","MICRASEMA SETIFERUM SSP.","NEMATOMORPHA GEN. SP.","NEMOURIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PEDICIIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMUS MONTANUS SSP.","PLECOPTERA GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","RADIX BALTHICA/LABIATA","RHYACOPHILA SP.","SERICOSTOMA PERSONATUM","SIALIS SP.","SIMULIIDAE GEN. SP.","TAENIOPTERYX NEBULOSA","TIPULIDAE GEN. SP."
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-19.10.2022","19.10.2022",2022,10,19,0,4,0,1,773,1,21,4,576,2,0,5,0,18,0,0,0,0,0,26,0,0,8,0,1,0,2,0,1,5,0,0,96,144,17,12,0,0,1,2,3,4,0,0,26,0,0
"NOR_029_MZB_LO_4","NOR_029_MZB_LO_4-23.09.1999","23.09.1999",1999,9,23,0,0,0,3,18,2,0,0,77,0,8,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,1,0,0,0,0,0
"NOR_029_MZB_LO_4","NOR_029_MZB_LO_4-10.10.2013","10.10.2013",2013,10,10,0,0,0,22,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,14,0,0,0,0,0,0,0,8,0,0,3,0,0,14,0,0,0,0,0
"NOR_029_MZB_LO_4","NOR_029_MZB_LO_4-09.10.2014","09.10.2014",2014,10,9,0,0,0,16,116,0,0,2,228,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,88,8,0,4,0,0,0,0,0,6,0,2,0,0,0
"NOR_029_MZB_LO_4","NOR_029_MZB_LO_4-15.10.2015","15.10.2015",2015,10,15,0,0,0,4,298,0,0,80,192,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,14,16,8,6,0,0,0,0,0,4,0,0,0,0,0
"NOR_029_MZB_LO_4","NOR_029_MZB_LO_4-28.10.2016","28.10.2016",2016,10,28,0,0,0,2,66,0,0,6,240,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16,24,0,6,0,0,0,0,0,14,0,0,0,7,0
"NOR_029_MZB_LO_4","NOR_029_MZB_LO_4-19.10.2017","19.10.2017",2017,10,19,0,0,0,12,56,0,0,4,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,0,0,0,4,0,0,3,1,0
"NOR_029_MZB_LO_4","NOR_029_MZB_LO_4-12.10.2018","12.10.2018",2018,10,12,0,0,0,3,2,0,4,4,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,13,0,0,0,0,0,2,0,0
"NOR_029_MZB_LO_4","NOR_029_MZB_LO_4-17.10.2019","17.10.2019",2019,10,17,0,0,0,0,14,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0
"NOR_029_MZB_LO_4","NOR_029_MZB_LO_4-22.10.2020","22.10.2020",2020,10,22,0,0,0,1,18,0,0,3,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"NOR_029_MZB_LO_4","NOR_029_MZB_LO_4-06.10.2021","06.10.2021",2021,10,6,0,0,0,0,3,0,2,3,56,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2
"NOR_029_MZB_LO_4","NOR_029_MZB_LO_4-20.10.2022","20.10.2022",2022,10,20,0,0,0,1,170,0,0,2,312,4,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,10,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
